team_id,team_name,team_link,leagues,nationality,region,players,hits,comments
69,AS Monaco,https://sofifa.com/team/69/as-monaco/,French Ligue 1 (1),France,Europe,33,<100,2.5K
66,Olympique Lyonnais,https://sofifa.com/team/66/olympique-lyonnais/,French Ligue 1 (1),France,Europe,30,<100,3.9K
95,Leicester City,https://sofifa.com/team/95/leicester-city/,English Premier League (1),England,Europe,33,<100,2.8K
1824,Eintracht Frankfurt,https://sofifa.com/team/1824/eintracht-frankfurt/,German 1. Bundesliga (1),Germany,Europe,33,<100,1.6K
175,VfL Wolfsburg,https://sofifa.com/team/175/vfl-wolfsburg/,German 1. Bundesliga (1),Germany,Europe,31,<100,0.5K
10029,TSG 1899 Hoffenheim,https://sofifa.com/team/10029/tsg-1899-hoffenheim/,German 1. Bundesliga (1),Germany,Europe,28,<100,0.4K
237,Sporting CP,https://sofifa.com/team/237/sporting-cp/,Portuguese Liga ZON SAGRES (1),Portugal,Europe,28,<100,6.2K
219,Olympique de Marseille,https://sofifa.com/team/219/olympique-de-marseille/,French Ligue 1 (1),France,Europe,29,<100,2.1K
457,Real Sociedad,https://sofifa.com/team/457/real-sociedad/,Spain Primera Division (1),Spain,Europe,33,<100,0.2K
34,FC Schalke 04,https://sofifa.com/team/34/fc-schalke-04/,German 1. Bundesliga (1),Germany,Europe,33,<100,2.9K
1799,Crystal Palace,https://sofifa.com/team/1799/crystal-palace/,English Premier League (1),England,Europe,33,<100,0.6K
13,Newcastle United,https://sofifa.com/team/13/newcastle-united/,English Premier League (1),England,Europe,33,<100,1.2K
1943,Bournemouth,https://sofifa.com/team/1943/bournemouth/,English Premier League (1),England,Europe,33,<100,0.5K
450,RC Celta,https://sofifa.com/team/450/rc-celta/,Spain Primera Division (1),Spain,Europe,33,<100,0.2K
452,RCD Espanyol,https://sofifa.com/team/452/rcd-espanyol/,Spain Primera Division (1),Spain,Europe,33,<100,0.1K
467,SD Eibar,https://sofifa.com/team/467/sd-eibar/,Spain Primera Division (1),Spain,Europe,29,<100,78
110,Wolverhampton Wanderers,https://sofifa.com/team/110/wolverhampton-wanderers/,English Premier League (1),England,Europe,33,<100,1.3K
1860,Getafe CF,https://sofifa.com/team/1860/getafe-cf/,Spain Primera Division (1),Spain,Europe,28,<100,0.1K
247,PSV,https://sofifa.com/team/247/psv/,Holland Eredivisie (1),Netherlands,Europe,30,<100,1K
1795,Watford,https://sofifa.com/team/1795/watford/,English Premier League (1),England,Europe,31,<100,0.6K
166,Hertha BSC,https://sofifa.com/team/166/hertha-bsc/,German 1. Bundesliga (1),Germany,Europe,32,<100,0.3K
39,Atalanta,https://sofifa.com/team/39/atalanta/,Italian Serie A (1),Italy,Europe,24,<100,0.6K
54,Torino,https://sofifa.com/team/54/torino/,Italian Serie A (1),Italy,Europe,23,<100,0.3K
38,SV Werder Bremen,https://sofifa.com/team/38/sv-werder-bremen/,German 1. Bundesliga (1),Germany,Europe,32,<100,0.9K
110062,Girona FC,https://sofifa.com/team/110062/girona-fc/,Spain Primera Division (1),Spain,Europe,33,<100,0.2K
1796,Burnley,https://sofifa.com/team/1796/burnley/,English Premier League (1),England,Europe,33,<100,0.4K
100765,Lokomotiv Moscow,https://sofifa.com/team/100765/lokomotiv-moscow/,Rest of World,Russia,Europe,28,<100,44
1877,Boca Juniors,https://sofifa.com/team/1877/boca-juniors/,Argentina Primera División (1),Argentina,South America,27,<100,1.9K
327,Beşiktaş JK,https://sofifa.com/team/327/besiktas-jk/,Turkish Süper Lig (1),Turkey,Europe,28,<100,6.8K
17,Southampton,https://sofifa.com/team/17/southampton/,English Premier League (1),England,Europe,33,<100,1.9K
1896,SC Braga,https://sofifa.com/team/1896/sc-braga/,Portuguese Liga ZON SAGRES (1),Portugal,Europe,28,<100,0.3K
1808,Brighton & Hove Albion,https://sofifa.com/team/1808/brighton-hove-albion/,English Premier League (1),England,Europe,33,<100,0.5K
110374,Fiorentina,https://sofifa.com/team/110374/fiorentina/,Italian Serie A (1),Italy,Europe,22,<100,0.6K
101085,Racing Club,https://sofifa.com/team/101085/racing-club/,Argentina Primera División (1),Argentina,South America,28,<100,0.3K
101014,Medipol Başakşehir FK,https://sofifa.com/team/101014/medipol-basaksehir-fk/,Turkish Süper Lig (1),Turkey,Europe,29,<100,0.2K
1853,Levante UD,https://sofifa.com/team/1853/levante-ud/,Spain Primera Division (1),Spain,Europe,33,<100,78
325,Galatasaray SK,https://sofifa.com/team/325/galatasaray-sk/,Turkish Süper Lig (1),Turkey,Europe,30,<100,10.3K
1876,River Plate,https://sofifa.com/team/1876/river-plate/,Argentina Primera División (1),Argentina,South America,28,<100,2.3K
326,Fenerbahçe SK,https://sofifa.com/team/326/fenerbahce-sk/,Turkish Süper Lig (1),Turkey,Europe,30,<100,8.2K
65,LOSC Lille,https://sofifa.com/team/65/losc-lille/,French Ligue 1 (1),France,Europe,28,<100,0.5K
31,1. FC Köln,https://sofifa.com/team/31/1-fc-koln/,German 2. Bundesliga (2),Germany,Europe,30,<100,0.3K
36,VfB Stuttgart,https://sofifa.com/team/36/vfb-stuttgart/,German 1. Bundesliga (1),Germany,Europe,28,<100,0.4K
1837,Sampdoria,https://sofifa.com/team/1837/sampdoria/,Italian Serie A (1),Italy,Europe,25,<100,0.2K
1819,AS Saint-Étienne,https://sofifa.com/team/1819/as-saint-etienne/,French Ligue 1 (1),France,Europe,32,<100,96
463,Deportivo Alavés,https://sofifa.com/team/463/deportivo-alaves/,Spain Primera Division (1),Spain,Europe,27,<100,81
189,Bologna,https://sofifa.com/team/189/bologna/,Italian Serie A (1),Italy,Europe,29,<100,0.1K
101047,Dynamo Kyiv,https://sofifa.com/team/101047/dynamo-kyiv/,Rest of World,Ukraine,Europe,28,<100,39
101059,Shakhtar Donetsk,https://sofifa.com/team/101059/shakhtar-donetsk/,Rest of World,Ukraine,Europe,28,<100,0.2K
280,Olympiacos CFP,https://sofifa.com/team/280/olympiacos-cfp/,Rest of World,Greece,Europe,26,<100,0.3K
393,PAOK,https://sofifa.com/team/393/paok/,Rest of World,Greece,Europe,28,<100,0.2K
1629,Grêmio,https://sofifa.com/team/1629/gremio/,Campeonato Brasileiro Série A (1),Brazil,South America,20,<100,0.2K
100888,CD Leganés,https://sofifa.com/team/100888/cd-leganes/,Spain Primera Division (1),Spain,Europe,31,<100,31
1970,Tigres U.A.N.L.,https://sofifa.com/team/1970/tigres-uanl/,Mexican Liga MX (1),Mexico,North America,29,<100,4.2K
1032,Monterrey,https://sofifa.com/team/1032/monterrey/,Mexican Liga MX (1),Mexico,North America,27,<100,3.2K
70,Montpellier HSC,https://sofifa.com/team/70/montpellier-hsc/,French Ligue 1 (1),France,Europe,30,<100,80
71,FC Nantes,https://sofifa.com/team/71/fc-nantes/,French Ligue 1 (1),France,Europe,32,<100,0.1K
72,OGC Nice,https://sofifa.com/team/72/ogc-nice/,French Ligue 1 (1),France,Europe,33,<100,0.5K
111974,Sassuolo,https://sofifa.com/team/111974/sassuolo/,Italian Serie A (1),Italy,Europe,26,<100,0.2K
100767,Spartak Moscow,https://sofifa.com/team/100767/spartak-moscow/,Rest of World,Russia,Europe,28,<100,73
231,Club Brugge KV,https://sofifa.com/team/231/club-brugge-kv/,Belgian Jupiler Pro League (1),Belgium,Europe,28,<100,0.2K
246,Feyenoord,https://sofifa.com/team/246/feyenoord/,Holland Eredivisie (1),Netherlands,Europe,29,<100,0.5K
144,Fulham,https://sofifa.com/team/144/fulham/,English Premier League (1),England,Europe,33,<100,1.3K
1842,Cagliari,https://sofifa.com/team/1842/cagliari/,Italian Serie A (1),Italy,Europe,29,<100,74
55,Udinese,https://sofifa.com/team/55/udinese/,Italian Serie A (1),Italy,Europe,27,<100,0.1K
74,Stade Rennais FC,https://sofifa.com/team/74/stade-rennais-fc/,French Ligue 1 (1),France,Europe,30,<100,0.2K
169,1. FSV Mainz 05,https://sofifa.com/team/169/1-fsv-mainz-05/,German 1. Bundesliga (1),Germany,Europe,32,<100,55
110093,Independiente,https://sofifa.com/team/110093/independiente/,Argentina Primera División (1),Argentina,South America,28,<100,0.3K
315,PFC CSKA Moscow,https://sofifa.com/team/315/pfc-cska-moscow/,Rest of World,Russia,Europe,27,<100,0.2K
25,SC Freiburg,https://sofifa.com/team/25/sc-freiburg/,German 1. Bundesliga (1),Germany,Europe,30,<100,72
673,KRC Genk,https://sofifa.com/team/673/krc-genk/,Belgian Jupiler Pro League (1),Belgium,Europe,26,<100,0.1K
1939,Huddersfield Town,https://sofifa.com/team/1939/huddersfield-town/,English Premier League (1),England,Europe,33,<100,0.6K
191,FC Red Bull Salzburg,https://sofifa.com/team/191/fc-red-bull-salzburg/,Austrian Football Bundesliga (1),Austria,Europe,27,<100,0.4K
110556,Genoa,https://sofifa.com/team/110556/genoa/,Italian Serie A (1),Italy,Europe,28,<100,0.3K
1879,Club América,https://sofifa.com/team/1879/club-america/,Mexican Liga MX (1),Mexico,North America,30,<100,1.5K
1048,Internacional,https://sofifa.com/team/1048/internacional/,Campeonato Brasileiro Série A (1),Brazil,South America,20,<100,44
1530,Angers SCO,https://sofifa.com/team/1530/angers-sco/,French Ligue 1 (1),France,Europe,29,<100,11
605,Al Hilal,https://sofifa.com/team/605/al-hilal/,Saudi Abdul L. Jameel League (1),Saudi Arabia,Asia,30,<100,83
78,Celtic,https://sofifa.com/team/78/celtic/,Scottish Premiership (1),Scotland,Europe,28,<100,0.7K
462,Real Valladolid CF,https://sofifa.com/team/462/real-valladolid-cf/,Spain Primera Division (1),Spain,Europe,33,<100,29
480,Rayo Vallecano,https://sofifa.com/team/480/rayo-vallecano/,Spain Primera Division (1),Spain,Europe,33,<100,35
